Game Turn, Player, Belief, Score
227, 1, BELIEF_DANCE_OF_THE_AURORA, 599.0
227, 1, BELIEF_DESERT_FOLKLORE, -1.0
227, 1, BELIEF_SACRED_PATH, 150.0
227, 1, BELIEF_RIVER_GODDESS, 0.0
227, 1, BELIEF_MONUMENT_TO_THE_GODS, 0.0
227, 1, BELIEF_DIVINE_SPARK, 61.0
227, 1, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
227, 1, BELIEF_GOD_OF_THE_SEA, -1.0
227, 1, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
227, 1, BELIEF_GODDESS_OF_THE_HUNT, 0.0
227, 1, BELIEF_STONE_CIRCLES, 0.0
227, 1, BELIEF_RELIGIOUS_IDOLS, 0.0
227, 1, BELIEF_GOD_OF_CRAFTSMEN, 0.0
227, 1, BELIEF_GODDESS_OF_FESTIVALS, 0.0
227, 1, BELIEF_ORAL_TRADITION, 0.0
227, 1, BELIEF_GOD_OF_THE_FORGE, 0.0
227, 1, BELIEF_INITIATION_RITES, -1.0
227, 1, BELIEF_GOD_OF_HEALING, 0.0
227, 1, BELIEF_GOD_OF_WAR, 0.0
227, 1, BELIEF_FERTILITY_RITES, -1.0
227, 1, BELIEF_RELIGIOUS_SETTLEMENTS, 318.0
227, 1, BELIEF_GODDESS_OF_THE_HARVEST, -1.0
227, 1, BELIEF_CITY_PATRON_GODDESS, 0.0
227, 1, BELIEF_EARTH_GODDESS, -1.0
227, 1, BELIEF_DIVINE_INSPIRATION, -1.0
227, 1, BELIEF_FEED_THE_WORLD, -1.0
227, 1, BELIEF_JESUIT_EDUCATION, -1.0
227, 1, BELIEF_RELIQUARIES, -1.0
227, 1, BELIEF_RELIGIOUS_COMMUNITY, -1.0
227, 1, BELIEF_WORK_ETHIC, -1.0
227, 1, BELIEF_ZEN_MEDITATION, -1.0
227, 1, BELIEF_CHORAL_MUSIC, -1.0
227, 1, BELIEF_WARRIOR_MONKS, -1.0
227, 1, BELIEF_CATHEDRAL, -1.0
227, 1, BELIEF_GURDWARA, -1.0
227, 1, BELIEF_MEETING_HOUSE, -1.0
227, 1, BELIEF_MOSQUE, -1.0
227, 1, BELIEF_PAGODA, -1.0
227, 1, BELIEF_SYNAGOGUE, -1.0
227, 1, BELIEF_WAT, -1.0
227, 1, BELIEF_STUPA, -1.0
227, 1, BELIEF_DAR_E_MEHR, -1.0
227, 1, BELIEF_CHURCH_PROPERTY, -1.0
227, 1, BELIEF_LAY_MINISTRY, -1.0
227, 1, BELIEF_PAPAL_PRIMACY, -1.0
227, 1, BELIEF_PILGRIMAGE, -1.0
227, 1, BELIEF_STEWARDSHIP, -1.0
227, 1, BELIEF_TITHE, -1.0
227, 1, BELIEF_WORLD_CHURCH, -1.0
227, 1, BELIEF_CROSS_CULTURAL_DIALOGUE, -1.0
227, 1, BELIEF_RELIGIOUS_UNITY, -1.0
227, 1, BELIEF_DEFENDER_OF_FAITH, -1.0
227, 1, BELIEF_HOLY_ORDER, 0.0
