Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
227, 2, HL: Move Missionary, , , UNIT_APOSTLE (2818053), Move: 32 35 -> 33 35 Dist: 1
227, 2, HL: Explore, , , UNIT_SCOUT (524288), Move To: 7 15
227, 2, HL: Explore, , , UNIT_SCOUT (524288), Move To: 7 16
227, 2, HL: End Turn, , , UNIT_SCOUT (524288)
227, 3, HL: Move Missionary, , , UNIT_APOSTLE (3211264), Move: 8 23 -> 69 11 Dist: 19
227, 3, HL: Move Missionary, , , UNIT_MISSIONARY (3276806), Move: 6 25 -> 69 11 Dist: 18
227, 3, HL: Move Missionary, , , UNIT_APOSTLE (2752521), Move: 29 35 -> 33 36 Dist: 4
227, 4, HL: Move Missionary, , , UNIT_MISSIONARY (3014657), Move: 66 32 -> 69 11 Dist: 21
227, 4, HL: Move Missionary, , , UNIT_MISSIONARY (2883592), Move: 65 17 -> 69 11 Dist: 7
227, 5, HL: Explore, , , UNIT_PIKEMAN (1572864), Move To: 73 24
227, 5, HL: Explore, , , UNIT_PIKEMAN (1572864), Move To: 72 23
227, 5, HL: End Turn, , , UNIT_PIKEMAN (1572864)
227, 6, Heal, , , UNIT_GALLEY (458752), 
227, 6, HL: End Turn, , , UNIT_SETTLER (1245190)
227, 7, Wander, , , UNIT_TREBUCHET (1114115), Move To: 32 20
227, 7, Wander, , , UNIT_CROSSBOWMAN (983045), Move To: 30 21
227, 7, Wander, , , UNIT_TREBUCHET (851974), Move To: 33 21
227, 7, HL: End Turn, , , UNIT_BUILDER (1048580)
227, 9, Wander, , , UNIT_BOMBARD (1179652), Move To: 20 21
227, 9, HL: End Turn, , , UNIT_SETTLER (589826)
227, 9, HL: End Turn, , , UNIT_BUILDER (1114118)
227, 11, Move to safety, , , UNIT_TREBUCHET (786433), Current Danger: 35
227, 11, Heal, , , UNIT_GALLEY (262146), 
227, 11, Heal, , , UNIT_GALLEY (524293), 
227, 11, Wander, , , UNIT_PIKEMAN (851975), Move To: 22 32
227, 11, HL: End Turn, , , UNIT_BUILDER (655363)
227, 12, Wander, , , UNIT_CROSSBOWMAN (917504), Move To: 71 8
227, 12, Wander, , , UNIT_BOMBARD (1114113), Move To: 71 10
227, 12, Wander, , , UNIT_CROSSBOWMAN (1048583), Move To: 71 9
227, 12, HL: End Turn, , , UNIT_BUILDER (589826)
227, 14, Heal, , , UNIT_GALLEY (327683), 
227, 14, Wander, , , UNIT_TREBUCHET (786433), Move To: 16 19
227, 14, HL: End Turn, , , UNIT_BUILDER (458752)
227, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_PIKEMAN (1179652), UNIT_SPEARMAN (327684), Expected Damage: 0, Move 57 39 Attack 57 38
227, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_PIKEMAN (1179652), UNIT_MUSKETMAN (16973827), Expected Damage: 0, Move 57 37 Attack 57 38
227, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_PIKEMAN (1179652), UNIT_MUSKETMAN (16580674), Expected Damage: 0, Move 58 38 Attack -9999 -9999
